"","(Intercept)","agr_gdp.lag2","dev_agr.lag2","dev_env.lag2","fdi.lag2","for_rem.lag2","gdp.lag2","gdp_gr.lag2","ind_gdp.lag2","pop_den.lag2","time","df","logLik","AICc","delta","weight"
"913",-6401.59379460731,NA,NA,NA,NA,0.0835329620427636,NA,NA,25.4646509105287,-541.46619031138,0.93652646105033,6,-77.6513844085152,174.939132453394,0,0.656568569299818
"945",-6371.15861973608,NA,NA,NA,NA,0.083342112568275,-0.301042248058423,NA,27.6772415755992,-544.35669575926,0.924687162416262,7,-77.2557658684837,179.711531736967,4.77239928357341,0.0603902394435042
"977",-6404.08603858228,NA,NA,NA,NA,0.0835977124077695,NA,1.00955226105156,24.8883308223964,-543.825015121201,0.938546658840847,7,-77.3398985180883,179.879797036177,4.94066458278252,0.0555173088698982
"917",-6405.68972809389,NA,NA,-0.173509354447553,NA,0.0835719490330145,NA,NA,25.7397042441693,-540.830309045128,0.934340313470139,7,-77.3911429511686,179.982285902337,5.04315344894317,0.0527440205052332
"921",-6369.2928295437,NA,NA,NA,-0.0197132328941667,0.0831329664532096,NA,NA,24.3552111679981,-535.599491832113,0.93371902267306,7,-77.4792616312342,180.158523262468,5.21939080907441,0.0482951784447072
"915",-6413.66517000452,NA,0.0130912680726433,NA,NA,0.0837269687133099,NA,NA,25.5405375513051,-546.251741112323,0.937832571319957,7,-77.5735149452135,180.347029890427,5.40789743703289,0.0439511335907703
"914",-6387.6060847667,-1.59651304904244,NA,NA,NA,0.0833905774562527,NA,NA,24.1263636563442,-542.73501712621,0.939653075390213,7,-77.5961236034282,180.392247206856,5.45311475346239,0.0429686060987304
"1009",-6348.24060168238,NA,NA,NA,NA,0.0833005529546319,-0.578994168584493,2.09941189726417,28.5216386835229,-551.930783997586,0.917957050509568,8,-76.1520745735122,184.304149147024,9.36501669363025,0.00607704639857764
"949",-6372.1952813496,NA,NA,-0.204631023487828,NA,0.0833643018663439,-0.338569125706753,NA,28.27744395234,-543.967079386871,0.920633048699872,8,-76.881556737117,185.763113474234,10.8239810208399,0.0029301002124094
"985",-6355.23122596877,NA,NA,NA,-0.0303388958551779,0.0830043735314341,NA,1.35660259021374,22.9827705039462,-535.606982724998,0.934920454849111,8,-76.9510428867788,185.902085773558,10.9629533201635,0.00273341153339031
"981",-6409.04656676004,NA,NA,-0.197619175056578,NA,0.0836497927649674,NA,1.12923175873692,25.133282841885,-543.380407454906,0.936296225886658,8,-76.9932896880365,185.986579376073,11.0474469226789,0.00262033893448144
"947",-6383.92996779448,NA,0.0147969441887064,NA,NA,0.0835559234026219,-0.309675542992535,NA,27.8264682869598,-549.848655350378,0.925823919652989,8,-77.1519976676345,186.303995335269,11.364862881875,0.0022357923720446
"946",-6350.50954579841,-2.14287703324422,NA,NA,NA,0.0831392466059915,-0.319582859299951,NA,26.0172304143158,-546.23776534347,0.928154617511962,8,-77.1530045528715,186.306009105743,11.366876652349,0.00223354231867504
"953",-6357.08846652033,NA,NA,NA,-0.0108968922046831,0.0831447405413807,-0.26360516076095,NA,26.788822188928,-540.754300123243,0.924607607965325,8,-77.207456892891,186.414913785782,11.4757813323879,0.00211517271025138
"978",-6398.75517985408,-0.595921306673983,NA,NA,NA,0.0835417140386945,NA,0.965096542523269,24.4141742866468,-544.194751810513,0.939624752737326,8,-77.3325641093646,186.665128218729,11.7259957653352,0.00186643324210973
"979",-6405.75551079266,NA,0.00189822751371621,NA,NA,0.0836237421822765,NA,0.976793082652795,24.9180354829238,-544.442375650122,0.938670490363226,8,-77.3385445994227,186.677089198845,11.7379567454513,0.00185530436789189
"925",-6387.91624240621,NA,NA,-0.137106538478944,-0.0103226790368796,0.0833543149001723,NA,NA,25.1010478002708,-537.891668542134,0.933328881225475,8,-77.3545718367562,186.709143673512,11.7700112201183,0.00182580598469653
"919",-6412.92300678831,NA,0.00818514310260575,-0.160199838405155,NA,0.0836902585457926,NA,NA,25.7660526392992,-543.871188748688,0.935324636240597,8,-77.3614489341681,186.722897868336,11.7837654149421,0.0018132928155431
"918",-6400.48890777208,-0.569306086609296,NA,-0.164490843450795,NA,0.0835191491927069,NA,NA,25.2481833117417,-541.315815625492,0.935568873231082,8,-77.3846430451198,186.76928609024,11.8301536368456,0.00177171909726517
"922",-6349.16726051688,-1.97535931639574,NA,NA,-0.0214334391618852,0.0829218903492799,NA,NA,22.6025422361212,-536.657469351712,0.937342589015308,8,-77.3942161705772,186.788432341154,11.8492998877604,0.00175483913398796
"786",-6238.21340916318,-15.25532228501,NA,NA,NA,0.0819450053671877,NA,NA,NA,-553.363336462991,0.985120706081475,6,-83.6062646260481,186.84889288846,11.9097604350657,0.00170258369436445
"923",-6381.41344547752,NA,0.00993890317941075,NA,-0.0179091803977069,0.0833168620170947,NA,NA,24.5143545301503,-539.769576271882,0.934967544984507,8,-77.4350564784426,186.870112956885,11.9309805034911,0.0016846147174153
"916",-6400.79814439982,-1.2997724228233,0.01148711121538,NA,NA,0.0835872759807397,NA,NA,24.4416961454498,-546.698329507579,0.940218002175465,8,-77.5377858579208,187.075571715842,12.1364392624476,0.00152014770400972
"794",-6146.44649144314,-13.7244247262537,NA,NA,-0.0678160317815736,0.0807509489006895,NA,NA,NA,-532.009831810802,0.968724001768861,7,-82.3181678887956,189.836335777591,14.8972033241972,0.000382290485142675
"785",-6341.8889076289,NA,NA,NA,NA,0.0830761393875957,NA,NA,NA,-541.010195427995,0.974126878872185,5,-87.544002216899,190.088004433798,15.148871980404,0.000337088809002306
"1013",-6345.71220490622,NA,NA,-0.288675718670966,NA,0.0833246187103778,-0.680334995010627,2.46499299625686,29.5153912887076,-552.700060861037,0.911065910064206,9,-75.3263119862802,191.15262397256,16.2134915191664,0.000197954390757524
"793",-6203.26282535428,NA,NA,NA,-0.0920131661556737,0.0813020243289974,NA,NA,NA,-513.719618285328,0.953376634680789,6,-85.9203843517365,191.477132339837,16.5379998864427,0.000168305784505706
"790",-6233.29437755569,-15.5802277806722,NA,0.136300456991193,NA,0.0818941645341534,NA,NA,NA,-554.129818084873,0.986753140622559,7,-83.5257986769564,192.251597353913,17.3124649005187,0.000114268388189103
"818",-6262.13336955145,-14.4628815114921,NA,NA,NA,0.0821237130986512,0.156631809593447,NA,NA,-551.238339268106,0.989009756111582,7,-83.5463307639806,192.292661527961,17.3535290745671,0.000111946141564808
"850",-6243.87582953442,-14.748952696892,NA,NA,NA,0.0820259444917507,NA,0.583411378963475,NA,-554.322406965711,0.985431469631923,7,-83.5572261912964,192.314452382593,17.3753199291987,0.000110733061031902
"788",-6228.10862900628,-15.3616066078425,-0.0103274006216534,NA,NA,0.0817851512658889,NA,NA,NA,-549.67526211767,0.98407854466278,7,-83.5815215337254,192.363043067451,17.4239106140568,0.000108075181182655
"1017",-6321.69546887513,NA,NA,NA,-0.0194683252794117,0.0829453768957118,-0.52917930534785,2.22834429981157,26.9862511394808,-545.959916442374,0.917401598710063,9,-75.9810389516395,192.462077903279,17.522945449885,0.000102853915881793
"1011",-6337.0903323187,NA,-0.0101544689147491,NA,NA,0.0831494977626833,-0.602005650085795,2.31797067395083,28.5071369478627,-548.950400901089,0.916476309087377,9,-76.1097735012076,192.719547002415,17.7804145490211,9.04299157889779e-05
"1010",-6344.33612691595,-0.444282551552614,NA,NA,NA,0.0832591758707478,-0.578269582841727,2.06490451566968,28.1635895876917,-552.19629309129,0.918786578502005,9,-76.1474254229015,192.794850845803,17.855718392409,8.70883584669041e-05
"817",-6422.13547595156,NA,NA,NA,NA,0.0835954750952422,0.678149098530032,NA,NA,-534.588090684862,0.993437329493457,6,-86.6132334893045,192.862830614973,17.9236981615786,8.41779771706517e-05
"849",-6350.58876762438,NA,NA,NA,NA,0.0832461060507693,NA,2.28515042153537,NA,-546.372822814378,0.976773439677539,6,-86.988904209667,193.614172055698,18.6750396023036,5.7815829957681e-05
"989",-6372.61417563904,NA,NA,-0.126094243301529,-0.0215096247115239,0.0832102786535727,NA,1.3319670003297,23.6936252983898,-537.714917473928,0.934539831541389,9,-76.8394654180755,194.178930836151,19.2397983827569,4.35924174117207e-05
"951",-6380.02042744974,NA,0.00915216812449948,-0.189993159489062,NA,0.0834949603311785,-0.341224560383512,NA,28.3268090206176,-547.39182261996,0.921626155660074,9,-76.8422806490129,194.184561298026,19.2454288446318,4.34698672739931e-05
"957",-6384.62306288837,NA,NA,-0.241678820584741,0.00947957127466733,0.0835400197010312,-0.377931023108343,NA,29.15897444905,-547.03038512451,0.919968271363125,9,-76.8560354527321,194.212070905464,19.2729384520702,4.28760411253634e-05
"950",-6362.44874066443,-1.00338348072967,NA,-0.189275348284755,NA,0.0832676465462697,-0.344434558382378,NA,27.4551185395857,-544.877110936382,0.922560878232009,9,-76.8603299976283,194.220659995257,19.2815275418626,4.26923028602838e-05
"987",-6339.0957656162,NA,-0.0112079863167071,NA,-0.0342376330606232,0.0827744343286102,NA,1.59462559744986,22.5625044926421,-530.905740984849,0.933723308207404,9,-76.9082220585611,194.316444117122,19.3773116637282,4.06958687413311e-05
"986",-6347.77598467719,-0.788716386468281,NA,NA,-0.0305871222708514,0.0829254037509917,NA,1.30060385451244,22.3396218715138,-536.029100053486,0.93631766958795,9,-76.9376499141181,194.375299828236,19.4361673748422,3.95157262906218e-05
"825",-6283.14434394989,NA,NA,NA,-0.0964297554380407,0.0817769037692253,0.73129576458077,NA,NA,-505.484277005397,0.973204446675118,7,-84.6007159722381,194.401431944476,19.4622994910822,3.90027699705175e-05
"983",-6402.31378603962,NA,-0.00812383454462556,-0.214034597234997,NA,0.0835427193763826,NA,1.27937233609497,25.0265031280428,-540.701361015992,0.935579330431452,9,-76.9699278226428,194.439855645286,19.5007231918916,3.82606065817473e-05
"982",-6418.518303189,1.00882000663177,NA,-0.215437324717073,NA,0.0837492867552469,NA,1.21528050362165,25.9580562398971,-542.714401989927,0.934268239979479,9,-76.974306915023,194.448613830046,19.509481376652,3.80934261674024e-05
"857",-6192.27667398555,NA,NA,NA,-0.107308760753646,0.0812426827613057,NA,3.16722555962774,NA,-516.615650849819,0.953595407585784,7,-84.6446937713234,194.489387542647,19.5502550892527,3.73246837086203e-05
"948",-6364.47296544326,-1.82462767773939,0.0126249943816883,NA,NA,0.0833518021367171,-0.324195368855313,NA,26.3910896176101,-550.644227912093,0.928609548297248,9,-77.0790111385709,194.658022277142,19.7188898237478,3.43065913092173e-05
