,for_cov,for_cov_perc,gdp,gdp_gr,gni,fdi,ind_gdp,agr_gdp,dev_agri,dev_env,pop_den,armi,cpi,nfi,rice_med,rub_med,corn_med,sug_med,for_prod,prod_rice,prod_rub,prod_cass,prod_corn,prod_sug,for_rem
for_cov,,,-0.296351712,0.304149604,-0.297580933,-0.31177291,0.467591911,-0.530273078,0.162740921,-0.045354086,0.394250913,0.0037893,-0.229094587,-0.212216687,-0.057375806,0.110159704,0.002224711,-0.018443582,-0.580995141,-0.247901434,-0.277373933,0.283726308,-0.191468946,-0.329259059,0.647547461
for_cov_perc,,,-0.296351715,0.3041496,-0.297580936,-0.311772913,0.467591913,-0.530273078,0.162740917,-0.045354084,0.394250914,0.0037893,-0.229094588,-0.212216692,-0.057375808,0.110159703,0.002224712,-0.01844358,-0.580995141,-0.247901438,-0.277373935,0.283726306,-0.191468949,-0.329259063,0.647547462
gdp,-0.296351712,-0.296351715,,0.396804511,0.985007861,0.25246336,0.121985224,-0.222319743,-0.008500535,-0.012272571,-0.510804603,0.3035028,0.347611237,0.001974701,0.186830722,0.216952198,0.233486315,-0.149321555,0.142981463,0.408228233,0.625594154,0.257548174,0.56752454,0.189360394,-0.599175631
gdp_gr,0.304149604,0.3041496,0.396804511,,0.39242989,0.20437232,0.123853398,-0.304128393,0.271586634,0.137742979,5.97E-05,0.299425935,0.277546144,-0.056517157,-0.197035017,0.372201865,0.024659094,-0.21972866,0.122509143,-0.021927753,0.10603418,0.51577361,0.598674056,-0.094791839,-0.028439064
gni,-0.297580933,-0.297580936,0.985007861,0.39242989,,0.242109054,0.129243607,-0.213393428,0.010235664,0.031062186,-0.508074243,0.343701444,0.345986936,-0.021742367,0.159175136,0.242639896,0.221057531,-0.136467696,0.144193982,0.409879637,0.600292689,0.231186039,0.616031366,0.146721552,-0.548975187
fdi,-0.31177291,-0.311772913,0.25246336,0.20437232,0.242109054,,-0.482200993,0.233340112,0.009498963,0.411217555,-0.306843034,0.030309757,0.296291793,0.086132868,0.026698263,0.087115582,0.241840633,-0.122265025,0.260246609,0.236638008,0.190633997,0.057415118,0.456495929,0.538940224,-0.26311501
ind_gdp,0.467591911,0.467591913,0.121985224,0.123853398,0.129243607,-0.482200993,,-0.612988396,-0.156189179,0.022694217,0.214383614,0.073135774,-0.301430895,-0.497919682,-0.250147251,0.081344525,-0.012466538,-0.012589454,-0.483626265,-0.20770333,-0.070121256,0.230148245,-0.204775996,-0.325258568,0.159510375
agr_gdp,-0.530273078,-0.530273078,-0.222319743,-0.304128393,-0.213393428,0.233340112,-0.612988396,,-0.036069629,0.153001516,-0.242815254,-0.07883642,0.546917611,0.50746162,0.142986205,-0.110229465,-0.086542186,0.370273015,0.189355097,0.022146736,-0.056006622,-0.380622763,-0.008875728,0.20410736,-0.202494648
dev_agri,0.162740921,0.162740917,-0.008500535,0.271586634,0.010235664,0.009498963,-0.156189179,-0.036069629,,-0.123995559,0.011077405,0.259754743,0.148554959,-0.079878284,-0.063915304,0.019544108,0.020690051,0.123278326,-0.064893882,-0.084517262,0.155734475,0.04790885,0.125863966,0.055596488,0.018721844
dev_env,-0.045354086,-0.045354084,-0.012272571,0.137742979,0.031062186,0.411217555,0.022694217,0.153001516,-0.123995559,,-0.033763694,0.05173564,0.296948967,-0.238880328,-0.348042329,0.105307926,0.033831999,0.315612766,-0.013334501,-0.283874807,-0.044973858,0.025346013,0.083538656,0.155960491,0.014914797
